dx_cd|ICD9|ICD10
V9102|TWIN GESTATION, MONOCHORIONIC/DIAMNIOTIC (ONE PLACENTA, TWO AMNIOTIC SACS)|BURN DUE TO FISHING BOAT ON FIRE
V9103|TWIN GESTATION, DICHORIONIC/DIAMNIOTIC (TWO PLACENTAE, TWO AMNIOTIC SACS)|BURN DUE TO OTHER POWERED WATERCRAFT ON FIRE
V9109|TWIN GESTATION, UNABLE TO DETERMINE NUMBER OF PLACENTA AND NUMBER OF AMNIOTIC SACS|BURN DUE TO UNSPECIFIED WATERCRAFT ON FIRE
V911|TRIPLET GESTATION PLACENTA STATUS|CRUSHED BETWEEN WATERCRAFT AND OTHER WATERCRAFT OR OTHER OBJECT DUE TO COLLISION
V9110|TRIPLET GESTATION, UNSPECIFIED NUMBER OF PLACENTA AND UNSPECIFIED NUMBER OF AMNIOTIC SACS|CRUSHED BETWEEN MERCHANT SHIP AND OTHER WATERCRAFT OR OTHER OBJECT DUE TO COLLISION
V9111|TRIPLET GESTATION, WITH TWO OR MORE MONOCHORIONIC FETUSES|CRUSHED BETWEEN PASSENGER SHIP AND OTHER WATERCRAFT OR OTHER OBJECT DUE TO COLLISION
V9112|TRIPLET GESTATION, WITH TWO OR MORE MONOAMNIOTIC FETUSES|CRUSHED BETWEEN FISHING BOAT AND OTHER WATERCRAFT OR OTHER OBJECT DUE TO COLLISION
V9119|TRIPLET GESTATION, UNABLE TO DETERMINE NUMBER OF PLACENTA AND NUMBER OF AMNIOTIC SACS|CRUSHED BETWEEN UNSPECIFIED WATERCRAFT AND OTHER WATERCRAFT OR OTHER OBJECT DUE TO COLLISION
V9120|QUADRUPLET GESTATION, UNSPECIFIED NUMBER OF PLACENTA AND UNSPECIFIED NUMBER OF AMNIOTIC SACS|FALL DUE TO COLLISION BETWEEN MERCHANT SHIP AND OTHER WATERCRAFT OR OTHER OBJECT
V9121|QUADRUPLET GESTATION, WITH TWO OR MORE MONOCHORIONIC FETUSES|FALL DUE TO COLLISION BETWEEN PASSENGER SHIP AND OTHER WATERCRAFT OR OTHER OBJECT
V9122|QUADRUPLET GESTATION, WITH TWO OR MORE MONOAMNIOTIC FETUSES|FALL DUE TO COLLISION BETWEEN FISHING BOAT AND OTHER WATERCRAFT OR OTHER OBJECT
V9129|QUADRUPLET GESTATION, UNABLE TO DETERMINE NUMBER OF PLACENTA AND NUMBER OF AMNIOTIC SACS|FALL DUE TO COLLISION BETWEEN UNSPECIFIED WATERCRAFT AND OTHER WATERCRAFT OR OTHER OBJECT
